Index	Classification
lckgfp_s000	T cell
lckgfp_s001	T cell
lckgfp_s002	epithelial cell
lckgfp_s003	T cell
lckgfp_s004	T cell
lckgfp_s005	T cell
lckgfp_s006	T cell
lckgfp_s007	T cell
lckgfp_s008	T cell
lckgfp_s009	T cell
lckgfp_s010	epithelial cell
lckgfp_s011	epithelial cell
lckgfp_s012	T cell
lckgfp_s013	T cell
lckgfp_s014	T cell
lckgfp_s015	T cell
lckgfp_s016	T cell
lckgfp_s017	T cell
lckgfp_s018	T cell
lckgfp_s019	T cell
lckgfp_s020	epithelial cell
lckgfp_s021	epithelial cell
lckgfp_s022	T cell
lckgfp_s023	T cell
lckgfp_s024	epithelial cell
lckgfp_s025	T cell
lckgfp_s026	T cell
lckgfp_s027	T cell
lckgfp_s028	T cell
lckgfp_s029	T cell
lckgfp_s030	T cell
lckgfp_s031	epithelial cell
lckgfp_s032	T cell
lckgfp_s033	T cell
lckgfp_s034	T cell
lckgfp_s035	T cell
lckgfp_s036	epithelial cell
lckgfp_s037	epithelial cell
lckgfp_s038	T cell
lckgfp_s039	T cell
lckgfp_s040	T cell
lckgfp_s041	T cell
lckgfp_s042	T cell
lckgfp_s043	T cell
lckgfp_s044	T cell
lckgfp_s045	T cell
lckgfp_s046	T cell
lckgfp_s047	T cell
lckgfp_s048	epithelial cell
lckgfp_s049	T cell
lckgfp_s050	T cell
lckgfp_s051	epithelial cell
lckgfp_s052	T cell
lckgfp_s053	T cell
lckgfp_s054	T cell
lckgfp_s055	epithelial cell
lckgfp_s056	T cell
lckgfp_s057	T cell
lckgfp_s058	T cell
lckgfp_s059	epithelial cell
lckgfp_s060	T cell
lckgfp_s061	T cell
lckgfp_s062	T cell
lckgfp_s063	T cell
lckgfp_s064	T cell
lckgfp_s065	T cell
lckgfp_s066	T cell
lckgfp_s067	epithelial cell
lckgfp_s068	T cell
lckgfp_s069	epithelial cell
lckgfp_s070	T cell
lckgfp_s071	T cell
lckgfp_s072	epithelial cell
lckgfp_s073	epithelial cell
lckgfp_s074	epithelial cell
lckgfp_s075	T cell
lckgfp_s076	T cell
lckgfp_s077	T cell
lckgfp_s078	T cell
lckgfp_s079	T cell
lckgfp_s080	T cell
lckgfp_s081	T cell
lckgfp_s082	T cell
lckgfp_s083	T cell
lckgfp_s084	T cell
lckgfp_s085	epithelial cell
lckgfp_s086	T cell
lckgfp_s087	T cell
lckgfp_s088	T cell
lckgfp_s089	T cell
lckgfp_s090	T cell
lckgfp_s091	T cell
lckgfp_s092	T cell
lckgfp_s093	T cell
lckgfp_s094	T cell
lckgfp_s095	T cell
lckgfp_s096	T cell
lckgfp_s097	epithelial cell
lckgfp_s098	T cell
lckgfp_s099	T cell
lckgfp_s100	epithelial cell
lckgfp_s101	T cell
lckgfp_s102	T cell
lckgfp_s103	epithelial cell
lckgfp_s104	epithelial cell
lckgfp_s105	T cell
lckgfp_s106	T cell
lckgfp_s107	T cell
lckgfp_s108	T cell
lckgfp_s109	epithelial cell
lckgfp_s110	epithelial cell
lckgfp_s111	T cell
lckgfp_s112	T cell
lckgfp_s113	T cell
lckgfp_s114	T cell
lckgfp_s115	T cell
lckgfp_s116	T cell
lckgfp_s117	T cell
lckgfp_s118	epithelial cell
lckgfp_s119	T cell
lckgfp_s120	T cell
lckgfp_s121	T cell
lckgfp_s122	epithelial cell
lckgfp_s123	epithelial cell
lckgfp_s124	T cell
lckgfp_s125	T cell
lckgfp_s126	T cell
lckgfp_s127	T cell
lckgfp_s128	T cell
lckgfp_s129	T cell
lckgfp_s130	epithelial cell
lckgfp_s131	T cell
lckgfp_s132	epithelial cell
lckgfp_s133	T cell
lckgfp_s134	T cell
lckgfp_s135	T cell
lckgfp_s136	T cell
lckgfp_s137	T cell
lckgfp_s138	T cell
lckgfp_s139	T cell
lckgfp_s140	epithelial cell
lckgfp_s141	epithelial cell
lckgfp_s142	T cell
lckgfp_s143	epithelial cell
lckgfp_s144	epithelial cell
lckgfp_s145	T cell
lckgfp_s146	T cell
lckgfp_s147	T cell
lckgfp_s148	T cell
lckgfp_s149	T cell
lckgfp_s150	T cell
lckgfp_s151	T cell
lckgfp_s152	T cell
lckgfp_s153	epithelial cell
lckgfp_s154	T cell
lckgfp_s155	T cell
lckgfp_s156	T cell
lckgfp_s157	T cell
lckgfp_s158	T cell
lckgfp_s159	T cell
lckgfp_s160	epithelial cell
lckgfp_s161	T cell
lckgfp_s162	epithelial cell
lckgfp_s163	epithelial cell
lckgfp_s164	T cell
lckgfp_s165	T cell
lckgfp_s166	T cell
lckgfp_s167	T cell
lckgfp_s168	T cell
lckgfp_s169	T cell
lckgfp_s170	T cell
lckgfp_s171	epithelial cell
lckgfp_s172	epithelial cell
lckgfp_s173	T cell
lckgfp_s174	T cell
lckgfp_s175	T cell
lckgfp_s176	epithelial cell
lckgfp_s177	epithelial cell
lckgfp_s178	T cell
lckgfp_s179	T cell
lckgfp_s180	T cell
lckgfp_s181	T cell
lckgfp_s182	epithelial cell
lckgfp_s183	T cell
lckgfp_s184	T cell
lckgfp_s185	epithelial cell
lckgfp_s186	T cell
lckgfp_s187	T cell
lckgfp_s188	epithelial cell
lckgfp_s189	epithelial cell
lckgfp_s190	epithelial cell
lckgfp_s191	epithelial cell
lckgfp_s192	epithelial cell
lckgfp_s193	T cell
lckgfp_s194	T cell
lckgfp_s195	T cell
lckgfp_s196	epithelial cell
lckgfp_s197	epithelial cell
lckgfp_s198	T cell
lckgfp_s199	T cell
lckgfp_s200	T cell
lckgfp_s201	T cell
lckgfp_s202	T cell
lckgfp_s203	T cell
lckgfp_s204	T cell
lckgfp_s205	epithelial cell
lckgfp_s206	T cell
lckgfp_s207	epithelial cell
lckgfp_s208	T cell
lckgfp_s209	T cell
lckgfp_s210	T cell
lckgfp_s211	T cell
lckgfp_s212	T cell
lckgfp_s213	epithelial cell
lckgfp_s214	epithelial cell
lckgfp_s215	T cell
lckgfp_s216	T cell
lckgfp_s217	T cell
lckgfp_s218	T cell
lckgfp_s219	T cell
lckgfp_s220	T cell
lckgfp_s221	epithelial cell
lckgfp_s222	T cell
lckgfp_s223	T cell
lckgfp_s224	T cell
lckgfp_s225	epithelial cell
lckgfp_s226	T cell
lckgfp_s227	T cell
lckgfp_s228	epithelial cell
lckgfp_s229	T cell
lckgfp_s230	T cell
lckgfp_s231	T cell
lckgfp_s232	epithelial cell
lckgfp_s233	T cell
lckgfp_s234	T cell
lckgfp_s235	T cell
lckgfp_s236	T cell
lckgfp_s237	T cell
lckgfp_s238	epithelial cell
lckgfp_s239	T cell
lckgfp_s240	T cell
lckgfp_s241	T cell
lckgfp_s242	T cell
lckgfp_s243	epithelial cell
lckgfp_s244	epithelial cell
lckgfp_s245	epithelial cell
lckgfp_s246	T cell
lckgfp_s247	T cell
lckgfp_s248	T cell
lckgfp_s249	T cell
lckgfp_s250	T cell
lckgfp_s251	epithelial cell
lckgfp_s252	T cell
lckgfp_s253	T cell
lckgfp_s254	T cell
lckgfp_s255	epithelial cell
lckgfp_s256	T cell
lckgfp_s257	T cell
lckgfp_s258	epithelial cell
lckgfp_s259	epithelial cell
lckgfp_s260	epithelial cell
lckgfp_s261	T cell
lckgfp_s262	epithelial cell
lckgfp_s263	epithelial cell
lckgfp_s264	epithelial cell
lckgfp_s265	T cell
lckgfp_s266	T cell
lckgfp_s267	epithelial cell
lckgfp_s268	epithelial cell
lckgfp_s269	T cell
lckgfp_s270	T cell
lckgfp_s271	T cell
lckgfp_s272	T cell
lckgfp_s273	T cell
lckgfp_s274	T cell
lckgfp_s275	T cell
lckgfp_s276	T cell
lckgfp_s277	T cell
lckgfp_s278	epithelial cell
lckgfp_s279	T cell
lckgfp_s280	epithelial cell
lckgfp_s281	T cell
lckgfp_s282	epithelial cell
lckgfp_s283	T cell
lckgfp_s284	T cell
lckgfp_s285	epithelial cell
lckgfp_s286	epithelial cell
lckgfp_s287	T cell
lckgfp_s288	T cell
lckgfp_s289	epithelial cell
lckgfp_s290	epithelial cell
lckgfp_s291	T cell
lckgfp_s292	T cell
lckgfp_s293	T cell
lckgfp_s294	T cell
lckgfp_s295	T cell
lckgfp_s296	epithelial cell
lckgfp_s297	epithelial cell
lckgfp_s298	epithelial cell
lckgfp_s299	T cell
lckgfp_s300	T cell
lckgfp_s301	T cell
lckgfp_s302	T cell
lckgfp_s303	T cell
lckgfp_s304	epithelial cell
lckgfp_s305	T cell
lckgfp_s306	T cell
lckgfp_s307	T cell
lckgfp_s308	T cell
lckgfp_s309	T cell
lckgfp_s310	T cell
lckgfp_s311	epithelial cell
lckgfp_s312	T cell
lckgfp_s313	epithelial cell
lckgfp_s314	T cell
lckgfp_s315	T cell
lckgfp_s316	epithelial cell
lckgfp_s317	epithelial cell
lckgfp_s318	T cell
lckgfp_s319	T cell
lckgfp_s320	T cell
lckgfp_s321	epithelial cell
lckgfp_s322	epithelial cell
lckgfp_s323	epithelial cell
lckgfp_s324	epithelial cell
lckgfp_s325	T cell
lckgfp_s326	T cell
lckgfp_s327	T cell
lckgfp_s328	T cell
lckgfp_s329	T cell
lckgfp_s330	epithelial cell
lckgfp_s331	T cell
lckgfp_s332	T cell
lckgfp_s333	T cell
lckgfp_s334	T cell
lckgfp_s335	epithelial cell
lckgfp_s336	T cell
lckgfp_s337	T cell
lckgfp_s338	T cell
lckgfp_s339	epithelial cell
lckgfp_s340	epithelial cell
lckgfp_s341	epithelial cell
lckgfp_s342	T cell
lckgfp_s343	epithelial cell
lckgfp_s344	T cell
lckgfp_s345	T cell
lckgfp_s346	T cell
lckgfp_s347	T cell
lckgfp_s348	T cell
lckgfp_s349	T cell
lckgfp_s350	epithelial cell
lckgfp_s351	epithelial cell
lckgfp_s352	T cell
lckgfp_s353	T cell
lckgfp_s354	T cell
lckgfp_s355	T cell
lckgfp_s356	T cell
lckgfp_s357	T cell
lckgfp_s358	T cell
lckgfp_s359	T cell
lckgfp_s360	T cell
lckgfp_s361	epithelial cell
lckgfp_s362	T cell
