Index	Classification
lckgfp_s363	T cell
lckgfp_s364	T cell
lckgfp_s365	T cell
lckgfp_s366	T cell
lckgfp_s367	T cell
lckgfp_s368	T cell
lckgfp_s369	epithelial cell
lckgfp_s370	T cell
lckgfp_s371	T cell
lckgfp_s372	T cell
lckgfp_s373	T cell
lckgfp_s374	T cell
lckgfp_s375	T cell
lckgfp_s376	epithelial cell
lckgfp_s377	T cell
lckgfp_s378	T cell
lckgfp_s379	epithelial cell
lckgfp_s380	epithelial cell
lckgfp_s381	epithelial cell
lckgfp_s382	T cell
lckgfp_s383	T cell
lckgfp_s384	T cell
lckgfp_s385	T cell
lckgfp_s386	epithelial cell
lckgfp_s387	T cell
lckgfp_s388	epithelial cell
lckgfp_s389	epithelial cell
lckgfp_s390	T cell
lckgfp_s391	T cell
lckgfp_s392	epithelial cell
lckgfp_s393	T cell
lckgfp_s394	epithelial cell
lckgfp_s395	T cell
lckgfp_s396	epithelial cell
lckgfp_s397	T cell
lckgfp_s398	T cell
lckgfp_s399	T cell
lckgfp_s400	epithelial cell
lckgfp_s401	T cell
lckgfp_s402	epithelial cell
lckgfp_s403	T cell
lckgfp_s404	T cell
lckgfp_s405	T cell
lckgfp_s406	epithelial cell
lckgfp_s407	T cell
lckgfp_s408	epithelial cell
lckgfp_s409	epithelial cell
lckgfp_s410	epithelial cell
lckgfp_s411	epithelial cell
lckgfp_s412	T cell
lckgfp_s413	T cell
lckgfp_s414	T cell
lckgfp_s415	T cell
lckgfp_s416	T cell
lckgfp_s417	T cell
lckgfp_s418	T cell
lckgfp_s419	T cell
lckgfp_s420	epithelial cell
lckgfp_s421	T cell
lckgfp_s422	epithelial cell
lckgfp_s423	T cell
lckgfp_s424	T cell
lckgfp_s425	epithelial cell
lckgfp_s426	T cell
lckgfp_s427	T cell
lckgfp_s428	epithelial cell
lckgfp_s429	T cell
lckgfp_s430	T cell
lckgfp_s431	epithelial cell
lckgfp_s432	T cell
lckgfp_s433	T cell
lckgfp_s434	epithelial cell
lckgfp_s435	epithelial cell
lckgfp_s436	T cell
lckgfp_s437	epithelial cell
lckgfp_s438	T cell
lckgfp_s439	T cell
lckgfp_s440	T cell
lckgfp_s441	T cell
lckgfp_s442	T cell
lckgfp_s443	T cell
lckgfp_s444	T cell
lckgfp_s445	epithelial cell
lckgfp_s446	T cell
lckgfp_s447	T cell
lckgfp_s448	T cell
lckgfp_s449	T cell
lckgfp_s450	epithelial cell
lckgfp_s451	epithelial cell
lckgfp_s452	T cell
lckgfp_s453	T cell
lckgfp_s454	T cell
lckgfp_s455	T cell
lckgfp_s456	T cell
lckgfp_s457	T cell
lckgfp_s458	T cell
lckgfp_s459	epithelial cell
lckgfp_s460	T cell
