index	﻿TIME	FSC-A	FSC-H	FSC-W	BSC-A	BSC-H	BSC-W	lck: EGFP-A-Compensated
lckgfp_s286	95.29517	92873.17	80150.56	186.0	428553.1	302485.1	186.0	1911.153
lckgfp_s287	31.95113	48703.98	52781.12	150.0	42755.52	39004.0	150.0	1478.414
lckgfp_s288	1296.677	53578.52	50906.24	154.0	30798.44	27571.04	154.0	1571.491
lckgfp_s289	152.0162	127515.0	120129.0	198.0	207325.6	140287.8	198.0	1377.462
lckgfp_s290	1089.288	108143.8	94007.2	195.0	397755.5	276136.0	195.0	3863.255
lckgfp_s291	1459.749	41356.82	45746.4	139.0	25462.71	26037.76	139.0	2767.222
lckgfp_s292	909.9748	58556.16	55304.48	156.0	54234.64	45821.44	156.0	2315.476
lckgfp_s293	1468.044	53064.88	47779.2	153.0	35119.54	30513.28	153.0	3906.314
lckgfp_s294	1298.68	43056.34	47367.04	143.0	33264.65	33491.36	143.0	2330.664
lckgfp_s295	1389.628	55793.63	54841.92	156.0	41434.54	37005.92	156.0	1388.006
lckgfp_s296	1424.412	115219.9	106703.5	189.0	285054.8	199446.2	189.0	1596.161
lckgfp_s297	103.4937	127292.6	87129.28	248.0	184481.9	109350.1	248.0	1487.129
lckgfp_s298	1272.111	49169.13	43713.6	142.0	117507.9	92732.64	142.0	1883.017
lckgfp_s299	1032.967	65263.62	63703.36	165.0	43643.85	34614.72	165.0	5568.361
lckgfp_s300	446.3776	41246.32	42592.48	136.0	30774.57	32128.32	136.0	1340.759
lckgfp_s301	383.5711	51223.59	52125.92	151.0	29775.42	26974.08	151.0	1922.581
lckgfp_s302	1115.718	49359.93	45900.96	147.0	36858.94	35605.92	147.0	2396.653
lckgfp_s303	538.5786	128549.3	67140.64	250.0	114733.2	70454.72	250.0	1768.13
lckgfp_s304	341.8194	182940.9	132214.9	274.0	300730.8	148277.9	274.0	9196.49
lckgfp_s305	492.657	35156.93	38847.2	124.0	21855.29	22385.44	124.0	2460.356
lckgfp_s306	1004.173	45066.16	46492.32	143.0	47005.18	40741.12	143.0	2226.336
lckgfp_s307	1041.14	37000.1	36451.52	117.0	44609.37	40670.56	117.0	1476.099
lckgfp_s308	366.3109	81651.72	75465.6	177.0	54279.27	45795.68	177.0	2754.217
lckgfp_s309	355.542	42987.24	44915.36	139.0	35121.98	36354.08	139.0	1654.335
lckgfp_s310	76.62574	40170.47	39882.08	130.0	35173.86	36368.64	130.0	2472.625
lckgfp_s311	393.9059	183731.5	96203.52	306.0	1622418.0	755396.3	306.0	1316.0
lckgfp_s312	880.675	53713.05	51226.56	154.0	34796.5	31864.0	154.0	2133.332
lckgfp_s313	473.2458	54859.16	56464.8	153.0	168480.8	509023.2	153.0	2783.045
lckgfp_s314	306.6193	45509.38	48512.8	144.0	33039.85	32287.36	144.0	1285.034
lckgfp_s315	555.7668	43843.94	38472.0	130.0	19644.61	16660.0	130.0	1588.435
lckgfp_s316	1336.207	47535.86	44093.28	142.0	57753.3	50360.8	142.0	2972.562
lckgfp_s317	1119.534	221348.8	187765.8	227.0	304776.6	185207.7	227.0	1337.456
lckgfp_s318	1126.971	62632.61	56385.28	163.0	41363.4	36398.88	163.0	2985.863
lckgfp_s319	150.3607	64869.96	67735.36	164.0	36973.56	30873.92	164.0	2203.715
lckgfp_s320	231.4897	72390.23	70972.16	171.0	35110.35	31399.2	171.0	4806.814
lckgfp_s321	392.4996	114711.7	96147.52	191.0	337745.2	186136.2	191.0	1728.168
lckgfp_s322	455.9901	53444.74	54084.8	152.0	87752.41	78835.68	152.0	2571.203
lckgfp_s323	342.8892	235403.3	225973.4	222.0	405090.7	265157.8	222.0	4697.708
lckgfp_s324	1111.697	46999.18	48998.88	148.0	83998.85	81932.48	148.0	4680.366
lckgfp_s325	1118.606	67306.7	67325.44	167.0	71220.95	57106.56	167.0	2146.5
lckgfp_s326	1056.07	79471.05	79214.24	175.0	64323.13	50792.0	175.0	2227.117
lckgfp_s327	1091.992	87191.2	80683.68	182.0	51794.14	44828.0	182.0	2568.725
lckgfp_s328	564.023	52960.68	49301.28	149.0	29148.5	25114.88	149.0	1972.895
lckgfp_s329	386.4106	49671.79	50003.52	150.0	78104.53	72237.76	150.0	1353.972
lckgfp_s330	1238.791	108406.1	120486.2	182.0	273224.7	239335.0	182.0	3857.903
lckgfp_s331	195.3131	55659.43	51881.76	154.0	41874.57	37016.0	154.0	2826.266
lckgfp_s332	94.17622	75259.61	51724.96	188.0	45346.38	32476.64	188.0	1416.097
lckgfp_s333	1239.223	100651.3	93948.96	190.0	62862.86	50612.8	190.0	2587.438
lckgfp_s334	1202.51	36464.25	39515.84	127.0	44171.53	47750.08	127.0	1598.683
lckgfp_s335	1398.816	144524.5	144848.5	195.0	222483.0	173671.7	195.0	4889.805
lckgfp_s336	451.6954	61788.48	62979.84	163.0	33466.3	29441.44	163.0	1597.887
lckgfp_s337	1139.397	55177.8	52270.4	155.0	24699.24	20316.8	155.0	1433.6
lckgfp_s338	116.3917	37286.23	41043.52	129.0	29430.96	30453.92	129.0	2417.548
lckgfp_s339	1204.223	33386.44	38881.92	123.0	37120.92	38308.48	123.0	1281.554
lckgfp_s340	1494.048	70587.15	41832.0	164.0	97573.68	56841.12	164.0	1359.841
lckgfp_s341	1023.32	80138.77	61020.96	187.0	146971.4	111888.0	187.0	1407.706
lckgfp_s342	400.9959	44637.62	44788.8	142.0	30724.33	27615.84	142.0	1375.722
lckgfp_s343	1247.593	285328.3	266543.2	232.0	311082.5	185248.0	232.0	6249.115
lckgfp_s344	1419.481	37666.49	38764.32	127.0	22393.08	24049.76	127.0	4082.928
lckgfp_s345	1244.719	46825.91	48463.52	146.0	29945.03	28566.72	146.0	1378.833
lckgfp_s346	1233.114	43281.19	47111.68	142.0	29949.32	28948.64	142.0	1404.713
lckgfp_s347	1001.256	38983.68	41261.92	133.0	28122.94	29114.4	133.0	2558.211
lckgfp_s348	242.2801	45812.56	49248.64	145.0	36612.53	33694.08	145.0	1587.255
lckgfp_s349	1497.348	119212.3	100536.8	208.0	75014.48	57743.84	208.0	2856.982
lckgfp_s350	534.2407	150914.0	154813.1	197.0	246570.7	177925.4	197.0	2940.224
lckgfp_s351	173.3683	46727.23	46193.28	143.0	43848.64	39430.72	143.0	1371.254
lckgfp_s352	273.4644	42030.81	41650.56	133.0	34743.16	36909.6	133.0	1356.243
lckgfp_s353	1457.173	48419.82	46020.8	144.0	23826.34	21789.6	144.0	2188.527
lckgfp_s354	71.67718	47562.83	47946.08	146.0	30252.11	27042.4	146.0	3322.162
lckgfp_s355	1403.541	37484.01	40920.32	130.0	17925.46	17308.48	130.0	1587.638
lckgfp_s356	1287.234	58411.88	59865.12	159.0	33600.43	29120.0	159.0	1542.029
lckgfp_s357	989.9832	54478.12	50049.44	153.0	35904.7	30447.2	153.0	1352.674
lckgfp_s358	1196.329	52146.42	50216.32	152.0	33709.45	30732.8	152.0	1621.584
lckgfp_s359	1366.355	37728.96	39174.24	126.0	30368.43	32957.12	126.0	2049.397
lckgfp_s360	357.8073	82804.59	82423.04	176.0	62360.57	52670.24	176.0	1685.95
lckgfp_s361	413.1049	137156.1	66706.08	266.0	170592.9	73756.48	266.0	1357.172
lckgfp_s362	1169.796	57752.61	60496.8	158.0	36276.94	34294.4	158.0	1508.879
lckgfp_s363	1148.553	67597.07	67186.56	167.0	30874.99	25842.88	167.0	4168.647
lckgfp_s364	890.4728	63721.47	53875.36	161.0	60781.13	46645.76	161.0	5316.571
lckgfp_s365	1100.724	46897.11	48715.52	145.0	31519.05	32404.96	145.0	1691.775
lckgfp_s366	82.97301	51247.1	50837.92	151.0	56747.19	51265.76	151.0	1611.837
lckgfp_s367	1501.208	51636.81	52196.48	151.0	39330.59	36583.68	151.0	1327.104
lckgfp_s368	1480.172	54669.54	52830.4	155.0	52034.64	48894.72	155.0	1404.212
lckgfp_s369	1041.091	77931.62	63115.36	177.0	194646.7	116921.3	177.0	1341.555
lckgfp_s370	1252.228	40923.41	44105.6	137.0	19199.56	16864.96	137.0	1832.055
lckgfp_s371	1521.596	78183.52	71230.88	176.0	50097.2	41369.44	176.0	4406.31
lckgfp_s372	1363.432	76486.4	70762.72	176.0	38956.42	30663.36	176.0	1858.436
lckgfp_s373	1163.049	53999.65	51610.72	154.0	60600.62	51075.36	154.0	1531.839
lckgfp_s374	424.1453	40443.27	39734.24	129.0	45689.12	45493.28	129.0	2081.78
lckgfp_s375	398.0704	47063.95	40766.88	137.0	28392.96	21228.48	137.0	1673.8
lckgfp_s376	1168.579	213681.5	107479.7	292.0	575141.9	307965.3	292.0	2989.564
lckgfp_s377	481.8471	38189.21	37375.52	120.0	22141.29	20045.76	120.0	4028.146
lckgfp_s378	1408.27	48883.48	46978.4	148.0	42832.96	38096.8	148.0	1440.782
lckgfp_s379	1045.577	37206.02	41111.84	130.0	26729.35	26858.72	130.0	1527.887
lckgfp_s380	487.6473	231525.8	137010.7	308.0	540942.9	233497.6	308.0	1645.576
lckgfp_s381	1072.429	125105.6	71554.56	245.0	355177.6	178316.3	245.0	6609.155
lckgfp_s382	445.5154	38443.7	37757.44	122.0	27253.48	28275.52	122.0	1306.725
lckgfp_s383	524.4271	67768.79	67202.24	168.0	43774.84	38998.4	168.0	1509.749
lckgfp_s384	286.073	51449.2	48616.96	152.0	29669.46	27404.16	152.0	3387.945
lckgfp_s385	1116.395	65826.52	59665.76	167.0	45692.45	37979.2	167.0	1776.993
lckgfp_s386	308.5563	85623.46	80125.92	177.0	127447.1	66870.72	177.0	1399.758
lckgfp_s387	1414.17	62425.97	64152.48	161.0	35479.62	31196.48	161.0	4716.007
lckgfp_s388	498.7573	85800.16	93324.0	175.0	206189.8	172734.2	175.0	2096.01
lckgfp_s389	1025.285	41816.34	46840.64	139.0	46018.61	44259.04	139.0	2379.931
lckgfp_s390	200.2682	66069.8	63682.08	166.0	33727.4	28817.6	166.0	4433.782
lckgfp_s391	1155.343	40098.57	38915.52	129.0	34854.3	34185.76	129.0	3369.512
lckgfp_s392	1022.166	145407.5	97826.4	251.0	623072.4	384687.5	251.0	1741.941
lckgfp_s393	1192.397	47963.5	49553.28	146.0	33746.82	30815.68	146.0	1789.571
lckgfp_s394	525.3945	51151.34	57358.56	152.0	56660.94	54055.68	152.0	1658.243
lckgfp_s395	1132.962	78904.01	73288.32	177.0	49059.46	38239.04	177.0	3994.23
lckgfp_s396	1144.632	90141.53	57444.8	209.0	153606.8	116636.8	209.0	1664.687
lckgfp_s397	34.508	51116.05	56073.92	152.0	26981.99	24458.56	152.0	1987.095
lckgfp_s398	1093.372	44869.92	50598.24	144.0	39660.31	38304.0	144.0	1455.646
lckgfp_s399	1283.474	44785.04	49048.16	146.0	29463.06	27704.32	146.0	3114.744
lckgfp_s400	1159.174	57942.18	63585.76	158.0	34533.8	25635.68	158.0	2450.816
lckgfp_s401	1327.442	56067.21	57195.04	157.0	34516.07	30496.48	157.0	1562.85
lckgfp_s402	490.562	187968.7	165211.2	223.0	389706.6	229372.6	223.0	3036.132
lckgfp_s403	944.8763	41421.93	39947.04	132.0	36240.52	34628.16	132.0	1598.993
lckgfp_s404	1335.259	41606.47	40904.64	134.0	29724.29	29041.6	134.0	1429.25
lckgfp_s405	1154.502	41413.73	42910.56	136.0	29652.01	28702.24	136.0	1416.126
lckgfp_s406	1384.926	124560.5	137364.6	186.0	200726.3	167842.1	186.0	2075.218
lckgfp_s407	196.6606	48129.19	47037.76	145.0	27728.67	27415.36	145.0	3232.196
lckgfp_s408	903.3945	40225.56	44686.88	136.0	52117.24	51264.64	136.0	1561.14
lckgfp_s409	1162.079	75836.26	68221.44	176.0	179107.4	143601.9	176.0	3394.123
lckgfp_s410	1143.225	86484.68	92938.72	176.0	525529.6	446157.6	176.0	5654.979
lckgfp_s411	1322.411	208328.9	151791.4	274.0	435834.9	248139.4	274.0	8308.613
lckgfp_s412	1189.633	60544.11	59074.4	161.0	35475.89	29613.92	161.0	3384.243
lckgfp_s413	216.249	41910.68	43027.04	136.0	38492.13	38542.56	136.0	1381.149
lckgfp_s414	531.1951	67204.53	62698.72	168.0	28172.86	24493.28	168.0	2276.03
lckgfp_s415	1016.911	53986.16	43785.28	147.0	53600.16	45391.36	147.0	1828.147
lckgfp_s416	1045.342	41975.66	42857.92	136.0	34223.44	31912.16	136.0	2230.76
lckgfp_s417	156.9381	38377.3	38176.32	126.0	33884.12	34139.84	126.0	1377.433
lckgfp_s418	1441.099	38308.63	40131.84	129.0	25200.22	23793.28	129.0	2394.618
lckgfp_s419	1024.449	51671.83	53958.24	152.0	34949.5	32375.84	152.0	1510.914
lckgfp_s420	489.1297	95821.08	91386.4	185.0	262806.6	203311.4	185.0	2758.817
lckgfp_s421	1000.138	49693.02	48475.84	148.0	35377.9	32933.6	148.0	1919.632
lckgfp_s422	287.0895	117078.9	82164.32	216.0	115255.3	62590.08	216.0	2041.538
lckgfp_s423	1021.144	35691.23	38234.56	123.0	50066.71	52372.32	123.0	1475.465
lckgfp_s424	1062.261	44769.0	49445.76	145.0	34833.62	31344.32	145.0	3051.38
lckgfp_s425	848.7369	38200.35	36861.44	118.0	91238.97	73430.56	118.0	1598.919
lckgfp_s426	568.5814	40039.66	38995.04	127.0	38036.53	30671.2	127.0	2146.958
lckgfp_s427	325.1344	45955.57	46824.96	143.0	32076.91	31762.08	143.0	3243.182
lckgfp_s428	1165.12	39572.91	42257.6	134.0	71876.88	66165.12	134.0	2313.205
lckgfp_s429	1429.69	44222.65	43716.96	138.0	50398.34	44136.96	138.0	1867.327
lckgfp_s430	1020.945	93003.0	93203.04	184.0	63698.78	49329.28	184.0	1900.005
lckgfp_s431	332.0612	76152.12	66641.12	172.0	163894.6	121543.5	172.0	1829.327
lckgfp_s432	1174.169	45090.25	47150.88	142.0	30347.2	26958.4	142.0	1867.165
lckgfp_s433	26.92071	35376.84	38600.8	121.0	22966.54	24108.0	121.0	1348.84
lckgfp_s434	158.7626	65181.53	60032.0	167.0	68060.61	57236.48	167.0	3104.702
lckgfp_s435	142.719	94177.73	76039.04	181.0	249328.3	127458.2	181.0	1336.512
lckgfp_s436	53.00206	67680.91	60419.52	169.0	40492.54	36826.72	169.0	1995.029
lckgfp_s437	1109.498	137113.7	78382.08	278.0	443780.2	251954.1	278.0	1964.681
lckgfp_s438	251.9256	46573.05	49479.36	146.0	33439.27	33648.16	146.0	2586.155
lckgfp_s439	1035.911	39872.92	43137.92	135.0	30724.22	32846.24	135.0	1367.435
lckgfp_s440	986.0396	35065.11	38416.0	122.0	30565.7	31017.28	122.0	2360.201
lckgfp_s441	80.72454	33946.07	38327.52	122.0	23554.75	25884.32	122.0	2270.53
lckgfp_s442	1423.437	84600.49	73288.32	183.0	52502.07	43945.44	183.0	2246.833
lckgfp_s443	471.1738	42227.65	43896.16	139.0	36952.55	34198.08	139.0	1363.748
lckgfp_s444	1092.875	36958.09	37507.68	120.0	26452.28	27242.88	120.0	1431.772
lckgfp_s445	50.85484	98359.66	107358.7	180.0	210945.4	179240.3	180.0	2816.843
lckgfp_s446	1005.758	55458.42	52279.36	155.0	33218.23	29149.12	155.0	2023.208
lckgfp_s447	1042.879	41401.97	46036.48	139.0	24714.6	24203.2	139.0	1740.275
lckgfp_s448	1001.622	51150.16	46824.96	147.0	63539.4	60587.52	147.0	2024.683
lckgfp_s449	49.97654	57022.05	56526.4	157.0	41871.61	36696.8	157.0	2027.308
lckgfp_s450	486.5954	178849.6	133930.7	248.0	261516.6	119974.4	248.0	1522.52
lckgfp_s451	856.7236	119467.0	66468.64	260.0	224483.9	94644.48	260.0	2161.365
lckgfp_s452	428.6982	42616.57	48863.36	143.0	30373.09	27534.08	143.0	1433.851
lckgfp_s453	1154.359	56254.76	55522.88	155.0	50612.32	44349.76	155.0	1751.276
lckgfp_s454	526.4379	39070.41	39364.64	127.0	66878.84	69272.0	127.0	1507.862
lckgfp_s455	1240.006	59980.22	61396.16	162.0	34249.12	29049.44	162.0	1287.26
lckgfp_s456	1214.594	48270.59	50758.4	147.0	25744.38	24130.4	147.0	2458.218
lckgfp_s457	324.2745	79113.03	77729.12	176.0	32107.72	25312.0	176.0	2999.09
lckgfp_s458	326.9974	51541.3	52559.36	152.0	31320.81	27432.16	152.0	3078.218
lckgfp_s459	203.0835	116949.8	123520.3	185.0	346189.2	265473.6	185.0	1775.385
lckgfp_s460	69.96487	67197.23	55781.6	166.0	32768.36	25700.64	166.0	2894.835
