index	﻿TIME	FSC-A	FSC-H	FSC-W	BSC-A	BSC-H	BSC-W	lck: EGFP-A-Compensated
lckgfp_s027	169.3331	55520.84	51161.6	155.0	41600.46	35210.56	155.0	1371.829
lckgfp_s028	515.3049	44105.24	46175.36	142.0	32555.96	28859.04	142.0	1877.679
lckgfp_s029	360.9955	35801.75	40628.0	127.0	27774.27	27975.36	127.0	2177.157
lckgfp_s030	692.3808	42642.33	42728.0	137.0	95657.15	74851.84	137.0	1715.148
lckgfp_s031	487.0783	158440.4	162596.0	199.0	266219.3	190457.1	199.0	2942.156
lckgfp_s032	573.1656	66827.25	64784.16	167.0	39103.94	33444.32	167.0	1555.049
lckgfp_s033	477.4372	38175.38	41884.64	130.0	25071.13	25088.0	130.0	2301.954
lckgfp_s034	354.1451	34200.0	37261.28	118.0	38137.25	39360.16	118.0	1371.475
lckgfp_s035	603.6964	40808.96	40729.92	131.0	30658.22	31570.56	131.0	1307.964
lckgfp_s036	683.6599	92914.71	85768.48	180.0	211299.2	162601.6	180.0	2550.765
lckgfp_s037	406.8124	178614.6	159426.4	221.0	132256.3	76918.24	221.0	6297.157
lckgfp_s038	239.2358	63190.64	65345.28	163.0	36293.35	33866.56	163.0	2243.397
lckgfp_s039	601.7835	56644.59	59532.48	158.0	47290.66	43322.72	158.0	1692.645
lckgfp_s040	530.712	51523.95	51869.44	149.0	43077.22	38872.96	149.0	1391.633
lckgfp_s041	324.1857	43452.92	42715.68	137.0	37776.72	35521.92	137.0	1613.385
lckgfp_s042	199.0704	52003.52	53520.32	152.0	35055.48	32067.84	152.0	3687.88
lckgfp_s043	262.1819	46285.76	48571.04	147.0	36144.54	34067.04	147.0	2052.14
lckgfp_s044	532.4612	39954.43	41444.48	133.0	22867.92	21992.32	133.0	1469.153
lckgfp_s045	666.2836	62310.33	50699.04	165.0	56222.73	49667.52	165.0	1963.177
lckgfp_s046	282.7971	71278.65	70211.68	170.0	42119.46	34819.68	170.0	2152.591
lckgfp_s047	637.8453	42048.24	43671.04	136.0	35328.53	35138.88	136.0	4831.676
lckgfp_s048	316.182	133688.7	137651.4	193.0	1249924.0	928593.1	193.0	1572.818
lckgfp_s049	359.2346	60779.85	48364.96	159.0	65747.92	55731.2	159.0	1923.672
lckgfp_s050	598.6719	73349.41	73503.36	170.0	46813.55	36830.08	170.0	5570.175
lckgfp_s051	638.8925	64219.96	63148.96	166.0	34601.95	29615.04	166.0	1618.443
lckgfp_s052	233.104	52470.07	50456.0	151.0	42124.79	36842.4	151.0	1510.103
lckgfp_s053	546.7527	39457.07	42504.0	135.0	38273.99	40181.12	135.0	1782.375
lckgfp_s054	691.1664	61015.03	54635.84	160.0	50633.37	43962.24	160.0	3407.38
lckgfp_s055	25.18299	64033.94	60755.52	165.0	68771.81	60174.24	165.0	1818.238
lckgfp_s056	535.7084	38014.28	39670.4	129.0	42030.13	40238.24	129.0	1708.188
lckgfp_s057	669.5144	52960.61	55661.76	155.0	36411.32	34998.88	155.0	1706.138
lckgfp_s058	494.0134	36654.41	36775.2	117.0	23055.13	23830.24	117.0	1571.388
lckgfp_s059	549.7582	76545.48	79210.88	168.0	243340.6	207103.7	168.0	4046.122
