p1_J15	lckgfp_s249
p1_B9	lckgfp_s250
p1_L8	lckgfp_s251
p2_K2	lckgfp_s252
p1_H5	lckgfp_s253
p4_P7	lckgfp_s254
p2_I4	lckgfp_s255
p2_G2	lckgfp_s256
p1_F22	lckgfp_s257
p4_B16	lckgfp_s258
p1_G2	lckgfp_s259
p4_J3	lckgfp_s260
p2_O4	lckgfp_s261
p1_H12	lckgfp_s262
p2_L18	lckgfp_s263
p4_P23	lckgfp_s264
p1_L15	lckgfp_s265
p1_J8	lckgfp_s266
p4_J1	lckgfp_s267
p1_F8	lckgfp_s268
p4_J20	lckgfp_s269
p2_P20	lckgfp_s270
p2_J22	lckgfp_s271
p1_J7	lckgfp_s272
p1_P10	lckgfp_s273
p1_G9	lckgfp_s274
p1_C22	lckgfp_s275
p4_C9	lckgfp_s276
p4_H23	lckgfp_s277
p1_E17	lckgfp_s278
p4_J23	lckgfp_s279
p4_G17	lckgfp_s280
p1_H7	lckgfp_s281
p1_C23	lckgfp_s282
p4_L18	lckgfp_s283
p1_K21	lckgfp_s284
p2_E18	lckgfp_s285
p1_N4	lckgfp_s286
p1_K1	lckgfp_s287
p4_O14	lckgfp_s288
p1_M6	lckgfp_s289
p2_H11	lckgfp_s290
p4_E21	lckgfp_s291
p2_P4	lckgfp_s292
p4_J21	lckgfp_s293
p4_M14	lckgfp_s294
p4_M18	lckgfp_s295
p4_K19	lckgfp_s296
p1_J4	lckgfp_s297
p4_C13	lckgfp_s298
p4_F2	lckgfp_s299
p1_N18	lckgfp_s300
p1_F15	lckgfp_s301
p2_G12	lckgfp_s302
p1_H22	lckgfp_s303
p1_J13	lckgfp_s304
p1_K20	lckgfp_s305
p4_F1	lckgfp_s306
p4_A3	lckgfp_s307
p1_F14	lckgfp_s308
p1_M14	lckgfp_s309
p1_F3	lckgfp_s310
p1_N15	lckgfp_s311
p2_D2	lckgfp_s312
p1_G19	lckgfp_s313
p1_P12	lckgfp_s314
p1_D23	lckgfp_s315
p4_P15	lckgfp_s316
p2_D12	lckgfp_s317
p2_B13	lckgfp_s318
p1_N6	lckgfp_s319
p1_C9	lckgfp_s320
p1_M15	lckgfp_s321
p1_H18	lckgfp_s322
p1_K13	lckgfp_s323
p2_J12	lckgfp_s324
p4_G6	lckgfp_s325
p2_N10	lckgfp_s326
p4_F5	lckgfp_s327
p1_K23	lckgfp_s328
p1_H15	lckgfp_s329
p4_J11	lckgfp_s330
p1_N7	lckgfp_s331
p1_O4	lckgfp_s332
p2_J17	lckgfp_s333
p4_N10	lckgfp_s334
p4_G18	lckgfp_s335
p1_J18	lckgfp_s336
p4_F7	lckgfp_s337
p1_D4	lckgfp_s338
p2_M16	lckgfp_s339
p4_G22	lckgfp_s340
p4_M2	lckgfp_s341
p1_N16	lckgfp_s342
p2_O17	lckgfp_s343
p4_G19	lckgfp_s344
p2_M17	lckgfp_s345
p4_F11	lckgfp_s346
p2_N7	lckgfp_s347
p1_J9	lckgfp_s348
p4_E22	lckgfp_s349
p1_K22	lckgfp_s350
p1_A7	lckgfp_s351
p1_E10	lckgfp_s352
p4_C21	lckgfp_s353
p1_C3	lckgfp_s354
p4_D18	lckgfp_s355
p4_L13	lckgfp_s356
p2_E7	lckgfp_s357
p4_O9	lckgfp_s358
p2_B22	lckgfp_s359
p1_K14	lckgfp_s360
p1_E16	lckgfp_s361
p4_E8	lckgfp_s362
p2_P13	lckgfp_s363
p2_E3	lckgfp_s364
p2_P11	lckgfp_s365
p1_K3	lckgfp_s366
p4_C22	lckgfp_s367
p4_N22	lckgfp_s368
p2_J9	lckgfp_s369
p4_L12	lckgfp_s370
p4_L23	lckgfp_s371
p2_C22	lckgfp_s372
p2_H14	lckgfp_s373
p1_D17	lckgfp_s374
p1_P16	lckgfp_s375
p2_D14	lckgfp_s376
p1_M19	lckgfp_s377
p4_A18	lckgfp_s378
p4_D3	lckgfp_s379
p1_O20	lckgfp_s380
p2_D10	lckgfp_s381
p1_O18	lckgfp_s382
p1_M21	lckgfp_s383
p1_F11	lckgfp_s384
p4_H6	lckgfp_s385
p1_N12	lckgfp_s386
p4_D19	lckgfp_s387
p1_G20	lckgfp_s388
p2_B8	lckgfp_s389
p1_P8	lckgfp_s390
p4_O8	lckgfp_s391
p2_E8	lckgfp_s392
p4_L9	lckgfp_s393
p1_N21	lckgfp_s394
p2_E13	lckgfp_s395
p4_K7	lckgfp_s396
p1_L1	lckgfp_s397
p2_K11	lckgfp_s398
p4_I13	lckgfp_s399
p2_K14	lckgfp_s400
p4_H15	lckgfp_s401
p1_M20	lckgfp_s402
p2_I5	lckgfp_s403
p4_O15	lckgfp_s404
p2_N14	lckgfp_s405
p2_M23	lckgfp_s406
p1_O7	lckgfp_s407
p2_M3	lckgfp_s408
p2_I14	lckgfp_s409
p2_L13	lckgfp_s410
p4_E15	lckgfp_s411
p4_J9	lckgfp_s412
p1_G8	lckgfp_s413
p1_N22	lckgfp_s414
p2_I8	lckgfp_s415
p2_M9	lckgfp_s416
p1_J6	lckgfp_s417
p4_K20	lckgfp_s418
p4_L2	lckgfp_s419
p1_N20	lckgfp_s420
p2_M7	lckgfp_s421
p1_G11	lckgfp_s422
p2_F8	lckgfp_s423
p4_P3	lckgfp_s424
p2_F1	lckgfp_s425
p1_O23	lckgfp_s426
p1_D12	lckgfp_s427
p4_I8	lckgfp_s428
p4_N19	lckgfp_s429
p4_O2	lckgfp_s430
p1_B13	lckgfp_s431
p4_A8	lckgfp_s432
p1_I1	lckgfp_s433
p1_I6	lckgfp_s434
p1_N5	lckgfp_s435
p1_J2	lckgfp_s436
p2_L12	lckgfp_s437
p1_N9	lckgfp_s438
p4_D2	lckgfp_s439
p2_B7	lckgfp_s440
p1_I3	lckgfp_s441
p4_J19	lckgfp_s442
p1_E19	lckgfp_s443
p4_G5	lckgfp_s444
p1_L2	lckgfp_s445
p4_G1	lckgfp_s446
p2_K9	lckgfp_s447
p4_D1	lckgfp_s448
p1_M2	lckgfp_s449
p1_P20	lckgfp_s450
p2_L1	lckgfp_s451
p1_H17	lckgfp_s452
p4_P8	lckgfp_s453
p1_O21	lckgfp_s454
p4_K11	lckgfp_s455
p4_G10	lckgfp_s456
p1_E12	lckgfp_s457
p1_C12	lckgfp_s458
p1_N8	lckgfp_s459
p1_B3	lckgfp_s460
